Afghanistan	0.01
Albania.	0.01
Algeria.	0.12
Angola.	0.01
Argentina	0.77
Australia	1.80
Austria.	0.70
Bahamas.	0.01
Bahrain.	0.01
Bangladesh	0.04
Barbados	0.01
Belgium.	1.20
Benin.	0.01
Bolivia	0.01
Botswana	0.01
Brazil	1.25
Bulgaria	0.16
Burma . .	0.01
Burundi ..	0.01
Byelorussian Soviet Socialist Republic	0.38
Canada	3.22
Cape Verde	0.01
Central African Republic	0.01
Chad	0.01
Chile.	0.07
China.	1.59
Colombia	0.11
Comoros .	0.01
Congo .	0.01
Costa Rica	0.02
Cuba . .	0.11
Cyprus	0.01
Czechoslovakia	0.81
Democratic Kampuchea	0.01
Democratic People's Republic of Korea	0.05
Democratic Yemen	0.01
Denmark . .	0.73
Diibouti	0.01
Dominican Republic	0.03
Ecuador.	0.02
Egypt.	0.07
El Salvador	0.01
Equatorial Guinea	0.01
Ethiopia	0.01
Fiii . .	0.01
Finland	0.47
France	6.15
Gabon	0.02
Gambia	0.01
"Germany, Federal Republic of"	9.54
Ghana .	0.03
Greece	0.34
Grenada .	0.01
Guatemala	0.02
Guinea . . .	0.01
Guinea-Bissau	0.01
Guy ana	0.01
Haiti.	0.01
Honduras	0.01
Hungary .	0.32
Iceland	0.03
India . .	0.59
Indonesia	0.16
Iran	0.64
Iraq	0.12
Ireland	0.16
Israel	0.24
Italy . .	3.39
Ivory Coast	0.03
Jamaica .	0.02
Japan .	9.42
Jordan	0.01
Kenya	0.01
Kuwait	0.20
Lao People's Democratic Republic	0.01
Lebanon . .	0.03
Lesotho . .	0.01
Liberia. . . . ..	0.01
Libyan Arab Jamahiriya	0.22
Luxembourg	0.05
Madagascar	0.01
Malawi	0.01
Malaysia	0.09
Maldives	0.01
Mali	0.01
Malta .	0.01
Mauritania	0.01
Mauritius	0.01
Mexico	0.75
Monaco	0.01
Mongolia	0.01
Morocco.	0.05
Mozambique	0.01
Namibia .	0.01
Nepal . .	0.01
Netherlands	1.60
New Zealand	0.26
Nicaragua	0.01
Niger .	0.01
Nigeria	0.16
Norway	0.49
Oman •	0.01
Pakistan	0.07
Panama	0.02
Papa New Guinea	0.01
Paraguay	0.01
Peru	0.06
Philippines	0.10
Poland	1.22
Portugal	0.19
Qatar . • •	0.03
Republic of Korea	0.15
Romania.	0.20
Rwanda	0.01
Saint Lucia	0.01
Samoa. • •	0.01
San Marino	0.01
Sao Tome and Principe	0.01
Saudi Arabia	0.57
Senegal . .	0.01
Seychelles	0.01
Sierra Leone	0.01
Singapore . .	0.08
Somalia . ..	0.01
South Africa	0.41
Spain . .	1.67
Sri Lanka	0.02
Sudan . .	0.01
Suriname	0.01
Swaziland	0.01
Sweden	1.29
Switzerland . .	1.03
Syrian Arab Republic	0.03
Thailand	0.10
Togo	0.01
Tonga	0.01
Trinidad and Tobago	0.03
Tunisia. . ..	0.03
Turkey	0.29
Uganda	0.01
Ukrainian Soviet Socialist Republic . .	1.44
Union of Soviet Socialist Republics . .	10.91
United Arab Emirates . ... .....	0.10
United Kingdom of Great Britain and Northern Ireland	4.38
United Republic of Cameroon	0.01
United Republic of Tanzania	0.01
United States of America	25.00
Upper Volta . . .	0.01
Uruguay	0.04
Venezuela	0.49
Vietnam	0.03
Yemen	0.01
Yugoslavia	0.41
Zaire	0.02
Zambia	0.02
Zimbabwe	0.01
